year,spl_adjusted,spp_adjusted,price_diff,price_diff_adjusted,percent_increase,percent_increase_adjusted,days_between_sales
2011,111300,156559,-37326,-45259,-26,-29,144
2011,113526,212563,-86139,-99037,-45,-47,244
2011,109180,146247,-29952,-37067,-23,-25,195
2011,258110,187000,73500,71110,43,38,335
2011,180200,204609,-16008,-24409,-9,-12,166
2011,139920,205565,-54877,-65645,-29,-32,196
2011,129320,86625,43250,42695,55,49,153
2011,150520,205152,-44502,-54632,-24,-27,284
2011,68370,66000,4500,2370,8,4,195
2011,137694,135873,1718,1821,1,1,100
2011,95400,175450,-69500,-80050,-44,-46,329
2011,139920,222565,-70332,-82645,-35,-37,234
2011,106530,197233,-78803,-90703,-44,-46,206
2011,153700,159500,0,-5800,0,-4,222
2011,72080,131849,-51863,-59769,-43,-45,243
2011,113420,181500,-58000,-68080,-35,-38,335
2011,84800,84800,0,0,0,0,5
2011,223914,776192,-494389,-552278,-70,-71,149
2011,67310,306506,-215142,-239196,-77,-78,295
2011,205640,99000,104000,106640,116,108,353
2011,143100,240687,-92063,-97587,-41,-41,85
2011,133560,96250,38500,37310,44,39,277
2011,138330,296170,-138745,-157840,-52,-53,350
2011,175006,320261,-137033,-145255,-45,-45,86
2011,159716,159716,0,0,0,0,47
2011,165572,171879,-5950,-6307,-4,-4,20
2011,274434,287260,-12100,-12826,-4,-4,3
2011,720800,385000,330000,335800,94,87,252
2011,131546,170556,-30951,-39010,-20,-23,184
2011,365356,79200,272675,286156,379,361,230
2011,159696,159716,-18,-19,0,0,20
2011,206700,237821,-21201,-31121,-10,-13,266
2011,360400,190800,160000,169600,89,89,55
2011,201400,292903,-86324,-91503,-31,-31,130
2011,100700,127613,-25390,-26913,-21,-21,61
2011,84800,132312,-40284,-47512,-33,-36,314
2011,211470,264000,-40500,-52530,-17,-20,264
2011,74200,107250,-27500,-33050,-28,-31,168
2011,127094,151763,-23273,-24669,-16,-16,9
2011,132500,217953,-73139,-85453,-37,-39,207
